;localidade;tipo;loc_x;loc_y;mercado_mais_proximo;farmacia_mais_proxima;escola_mais_proxima;num_penit_4km;num_penit_500m;idade_imovel;area;preco
0;localidade 4;tipo 1;0.0813815529824973;0.7270212232023068;3603.941383841504;2002.686030260091;1124.043112727259;0;0;4;123.0;731600
1;localidade 4;tipo 2;0.3679802831811765;0.1458117610463485;2185.2091388771137;683.8118615549121;2462.825432022666;0;0;13;143.0;318600
2;localidade 3;tipo 2;0.3326541806713556;0.4329043986046362;1025.6983389324494;957.451551701899;1049.1121171802624;0;0;12;150.0;1000800
3;localidade 4;tipo 1;0.15966296007202302;0.8845961149534195;;3723.0673897230217;1296.121182196671;0;0;8;160.0;678200
4;localidade 3;tipo 1;0.1561544470113155;0.8363197733232548;3925.306331083371;705.8073427817645;4178.062758488525;0;0;12;134.0;1215100
5;localidade 3;tipo 2;0.09136720737699099;0.2281849863359345;4155.304956727835;3362.470136311571;449.703395388467;0;0;2;136.0;1174000
6;localidade 4;tipo 2;0.5950764453737584;0.39917585566915603;2875.015623807049;2242.262259516438;1427.3777092893972;0;0;14;79.0;302400
7;localidade 2;tipo 2;0.6111052610262648;0.9058267026795466;4736.052163939499;1716.7644699126151;2497.8513734557423;1;0;7;102.0;307100
9;localidade 2;tipo 1;0.9494899172213159;0.3812463548477371;2416.275513731369;884.1560756413443;2366.481836715065;0;0;14;209.0;185300
10;localidade 1;tipo 2;0.4904313343954244;0.0339819003813475;3944.830163077767;6230.157658070039;1430.4700107585763;0;0;16;161.0;436900
11;localidade 2;tipo 1;0.0350802678360431;0.3274450629494785;799.7908728708978;6501.385862095796;5919.078218835608;0;0;9;130.0;203800
12;localidade 4;tipo 2;0.9053810240973548;0.3172891702259199;3815.3349341599396;4563.944917537496;1060.486647898347;0;0;9;137.0;334600
13;localidade 1;tipo 2;0.0642106300475336;0.9108645776592832;5805.890537259444;1778.2966135067286;530.2554578644614;0;0;0;115.0;607000
14;localidade 2;tipo 1;0.46785589564733604;0.1350948519852591;2690.558984630803;4356.719515670143;4009.6292944255933;0;0;14;121.0;179100
15;localidade 4;tipo 2;0.1346800058004821;0.3777660208434584;127.83634655356356;1753.5514188375405;902.0057546376198;0;0;7;80.0;375600
16;localidade 1;tipo 2;0.4058454945572257;0.4819392683492436;1219.78354474897;1680.3535671165082;;1;0;10;151.0;444500
17;localidade 2;tipo 1;0.505489753415182;0.5942538229829656;1973.604354622248;1665.0660737953524;820.1569409644693;1;0;8;196.0;188500
18;localidade 1;tipo 2;0.7237537051468391;0.5767604451157815;2728.215996443684;;1161.94402202671;0;0;11;68.0;483600
19;localidade 2;tipo 1;0.0223824284299829;0.6703085500991114;4161.214643882433;5060.047221366595;4912.214830074143;1;0;4;154.0;195300
20;localidade 1;tipo 2;0.5232950721146006;0.7580882446838313;4172.303625211822;1681.896230819674;2365.114487365733;0;0;14;70.0;451500
21;localidade 1;tipo 2;0.8576771901666369;0.3101142746101686;4265.660216435803;2443.160243265998;1084.516398469319;0;0;14;181.0;458300
22;localidade 2;tipo 2;0.6341236855615737;0.9981486346671296;5184.704839809548;2638.4112392211787;3440.871262902329;1;0;5;147.0;317800
23;localidade 2;tipo 1;0.4396561631764119;0.7579568156196367;3701.3560140920254;807.2960862544228;1104.6182436843287;1;0;6;174.0;198200
24;localidade 1;tipo 2;0.9459050720192232;0.5788894663401983;1473.4518989694825;471.6541312094537;1745.6889149604763;0;0;14;159.0;478500
25;localidade 1;tipo 2;0.7145368407871905;0.2263282649092499;4241.590941596024;3985.0979740870453;1106.3645733483004;0;0;15;76.0;449300
26;localidade 2;tipo 1;0.1213736871053;0.8573949737151878;6019.435780758898;4106.765878488318;4321.701838620229;1;0;3;131.0;199200
27;localidade 4;tipo 2;0.7703001584752043;0.19914856445700302;2058.545023989537;4629.666146384398;1741.3995943352065;0;0;6;60.0;347400
28;localidade 2;tipo 2;0.8107141506657666;0.1772957558747809;;1456.4408891142189;2825.427674316812;0;0;2;159.0;392700
29;localidade 1;tipo 2;0.5144762439935123;0.7117940866160165;3726.280420144124;;1987.8882819365272;0;0;5;156.0;534600
30;localidade 3;tipo 1;0.7662752973320642;0.9311126761573896;349.3717443873325;2425.2850117824037;2422.638120755871;0;0;28;67.0;896400
31;localidade 2;tipo 2;0.7696281925230615;0.5987003083985998;2198.876429894633;1579.861103852667;1605.5780734186499;1;0;12;140.0;281100
32;localidade 3;tipo 1;0.5152536447222561;0.1922946918878619;806.4372133209522;3977.952685325503;1168.0775726835382;0;0;33;129.0;796900
33;localidade 2;tipo 2;0.0634894462753198;0.5759092930963755;3187.1899843902443;4925.980700304865;4610.4976374195;1;0;4;131.0;323300
34;localidade 3;tipo 2;0.7249677859205882;0.6211734988950323;1903.5082326600211;2277.281773604563;2200.4186818593084;0;0;40;113.0;514400
35;localidade 2;tipo 1;0.2277414113596004;0.8900480874194929;5751.943515206684;3201.7473906825458;3571.715352290272;1;0;7;132.0;183100
37;localidade 2;tipo 1;0.8207458867881762;0.3285469958951115;2017.9463832338968;481.4155624447863;1532.127313794099;0;0;2;;235100
40;localidade 3;tipo 2;0.8682524694958091;0.0329379232382558;3335.3571755310827;1633.4730060246482;;0;0;15;132.0;886500
41;localidade 2;tipo 1;0.4952519567337258;0.9454672554856984;;1870.6426677809666;2702.18751913385;1;0;1;154.0;203900
